seed,k,N,depth,xcoord,dist
0,4,4096,32,0.25,0.22109690308570862
0,5,5120,16,0.1,0.18442635238170624
0,5,5120,17,0.10625,0.20451009273529053
0,5,5120,18,0.1125,0.20737990736961365
0,5,5120,19,0.11875,0.20963135361671448
0,5,5120,20,0.125,0.18597649037837982
0,5,5120,21,0.13125,0.18738776445388794
0,5,5120,22,0.1375,0.19556187093257904
0,5,5120,23,0.14375,0.2194451540708542
0,5,5120,24,0.15,0.21859848499298096
0,5,5120,25,0.15625,0.2369491308927536
0,5,5120,26,0.1625,0.260227233171463
0,5,5120,27,0.16875,0.2461787611246109
0,5,5120,28,0.175,0.27616995573043823
0,5,5120,29,0.18125,0.2613842785358429
0,5,5120,30,0.1875,0.26005232334136963
0,5,5120,31,0.19375,0.2775419056415558
0,5,5120,32,0.2,0.2811785340309143
0,6,6144,16,0.08333333333333333,0.1538836658000946
0,6,6144,17,0.08854166666666667,0.16132232546806335
0,6,6144,18,0.09375,0.1675397902727127
0,6,6144,19,0.09895833333333333,0.17163895070552826
0,6,6144,20,0.10416666666666667,0.18007886409759521
0,6,6144,21,0.109375,0.17360922694206238
0,6,6144,22,0.11458333333333333,0.17199523746967316
0,6,6144,23,0.11979166666666667,0.17906638979911804
0,6,6144,24,0.125,0.1901240199804306
0,6,6144,25,0.13020833333333334,0.1906406283378601
0,6,6144,26,0.13541666666666666,0.18971501290798187
0,6,6144,27,0.140625,0.1913098394870758
0,6,6144,28,0.14583333333333334,0.19354110956192017
0,6,6144,29,0.15104166666666666,0.20260114967823029
0,6,6144,30,0.15625,0.21250763535499573
0,6,6144,31,0.16145833333333334,0.20628568530082703
0,6,6144,32,0.16666666666666666,0.19039033353328705
0,7,7168,16,0.07142857142857142,0.1541091948747635
0,7,7168,17,0.07589285714285714,0.15912514925003052
0,7,7168,18,0.08035714285714286,0.15993456542491913
0,7,7168,19,0.08482142857142858,0.1719094067811966
0,7,7168,20,0.08928571428571429,0.17087550461292267
0,7,7168,21,0.09375,0.17039859294891357
0,7,7168,22,0.09821428571428571,0.16359522938728333
0,7,7168,23,0.10267857142857142,0.17730607092380524
0,7,7168,24,0.10714285714285714,0.18900395929813385
0,7,7168,25,0.11160714285714286,0.19132287800312042
