seed,k,N,depth,lr,num_gd_steps,xcoord,pred_diff_sq,loss_initial,loss_final,loss_ref_initial,loss_ref_final
0,1,500,10,0.08,10,1.28,1.032799482345581,73.67901611328125,47.53166961669922,70.86539459228516,45.574432373046875
0,1,500,11,0.07272727272727274,10,1.408,1.1539098024368286,70.18641662597656,39.513267517089844,70.86539459228516,45.574432373046875
0,1,500,12,0.06666666666666667,10,1.536,1.5657235383987427,72.60980224609375,39.399864196777344,70.86539459228516,45.574432373046875
0,1,500,13,0.06153846153846154,10,1.664,1.0053917169570923,76.31460571289062,50.7332763671875,70.86539459228516,45.574432373046875
0,1,500,14,0.05714285714285715,10,1.792,1.5044084787368774,74.62136840820312,40.65943908691406,70.86539459228516,45.574432373046875
0,1,500,15,0.05333333333333334,10,1.92,1.396674633026123,73.85331726074219,44.76385498046875,70.86539459228516,45.574432373046875
0,1,500,16,0.05,10,2.048,1.2770317792892456,72.50231170654297,41.177650451660156,70.86539459228516,45.574432373046875
0,1,500,17,0.047058823529411764,10,2.176,1.2470446825027466,73.40245056152344,47.72962951660156,70.86539459228516,45.574432373046875
0,1,500,18,0.044444444444444446,10,2.304,1.8950927257537842,71.74271392822266,39.77671432495117,70.86539459228516,45.574432373046875
0,1,500,19,0.042105263157894736,10,2.432,3.356025457382202,70.97528076171875,35.260292053222656,70.86539459228516,45.574432373046875
0,1,500,20,0.04,10,2.56,9.94873046875,72.32418823242188,22.88475799560547,70.86539459228516,45.574432373046875
0,2,1000,10,0.08,10,0.64,0.6378320455551147,72.51758575439453,46.44941711425781,70.86539459228516,45.574432373046875
0,2,1000,11,0.07272727272727274,10,0.704,0.6899651288986206,72.33073425292969,49.96698760986328,70.86539459228516,45.574432373046875
0,2,1000,12,0.06666666666666667,10,0.768,0.740271806716919,71.91425323486328,48.198699951171875,70.86539459228516,45.574432373046875
0,2,1000,13,0.06153846153846154,10,0.832,0.8739021420478821,71.7157211303711,41.919410705566406,70.86539459228516,45.574432373046875
0,2,1000,14,0.05714285714285715,10,0.896,0.8491861820220947,72.33522033691406,44.650413513183594,70.86539459228516,45.574432373046875
0,2,1000,15,0.05333333333333334,10,0.96,0.6367399096488953,71.5167007446289,46.323211669921875,70.86539459228516,45.574432373046875
0,2,1000,16,0.05,10,1.024,0.7824994325637817,73.50018310546875,47.54341125488281,70.86539459228516,45.574432373046875
0,2,1000,17,0.047058823529411764,10,1.088,0.9321100115776062,76.21699523925781,52.16796875,70.86539459228516,45.574432373046875
0,2,1000,18,0.044444444444444446,10,1.152,0.678093433380127,73.85726928710938,45.786903381347656,70.86539459228516,45.574432373046875
0,2,1000,19,0.042105263157894736,10,1.216,0.8169234395027161,71.6051025390625,47.37218475341797,70.86539459228516,45.574432373046875
0,2,1000,20,0.04,10,1.28,0.9905520081520081,72.68251037597656,42.972694396972656,70.86539459228516,45.574432373046875
0,3,1500,10,0.08,10,0.4266666666666667,0.6791002750396729,74.39080047607422,46.98076629638672,70.86539459228516,45.574432373046875
0,3,1500,11,0.07272727272727274,10,0.4693333333333333,0.7476097941398621,73.03916931152344,43.69382858276367,70.86539459228516,45.574432373046875
0,3,1500,12,0.06666666666666667,10,0.512,0.825429379940033,74.16536712646484,44.501441955566406,70.86539459228516,45.574432373046875
0,3,1500,13,0.06153846153846154,10,0.5546666666666666,1.1784592866897583,72.47470092773438,45.45201873779297,70.86539459228516,45.574432373046875
0,3,1500,14,0.05714285714285715,10,0.5973333333333334,0.8137343525886536,72.00215148925781,42.704078674316406,70.86539459228516,45.574432373046875
0,3,1500,15,0.05333333333333334,10,0.64,0.8314504027366638,73.05621337890625,45.06797409057617,70.86539459228516,45.574432373046875
0,3,1500,16,0.05,10,0.6826666666666666,1.2476168870925903,70.41006469726562,42.056026458740234,70.86539459228516,45.574432373046875
0,3,1500,17,0.047058823529411764,10,0.7253333333333334,0.7637916207313538,73.63955688476562,47.794456481933594,70.86539459228516,45.574432373046875
0,3,1500,18,0.044444444444444446,10,0.768,0.765544593334198,71.12313842773438,44.041866302490234,70.86539459228516,45.574432373046875
0,3,1500,19,0.042105263157894736,10,0.8106666666666666,1.0430341958999634,73.56478881835938,44.77192687988281,70.86539459228516,45.574432373046875
0,3,1500,20,0.04,10,0.8533333333333334,1.0828453302383423,71.08090209960938,43.638816833496094,70.86539459228516,45.574432373046875
0,4,2000,10,0.08,10,0.32,0.6443049907684326,74.4051513671875,49.10955810546875,70.86539459228516,45.574432373046875
0,4,2000,11,0.07272727272727274,10,0.352,0.796114444732666,72.76043701171875,45.450599670410156,70.86539459228516,45.574432373046875
0,4,2000,12,0.06666666666666667,10,0.384,0.8484640121459961,72.66909790039062,47.06700897216797,70.86539459228516,45.574432373046875
0,4,2000,13,0.06153846153846154,10,0.416,0.9998305439949036,70.5877685546875,44.11821746826172,70.86539459228516,45.574432373046875
0,4,2000,14,0.05714285714285715,10,0.448,0.6138978004455566,72.32977294921875,43.789833068847656,70.86539459228516,45.574432373046875
0,4,2000,15,0.05333333333333334,10,0.48,0.7905086278915405,71.87777709960938,45.99954605102539,70.86539459228516,45.574432373046875
0,4,2000,16,0.05,10,0.512,0.9990819692611694,71.61141204833984,42.86155700683594,70.86539459228516,45.574432373046875
0,4,2000,17,0.047058823529411764,10,0.544,0.617820680141449,74.42526245117188,47.951942443847656,70.86539459228516,45.574432373046875
0,4,2000,18,0.044444444444444446,10,0.576,0.6340399980545044,74.24739837646484,47.075523376464844,70.86539459228516,45.574432373046875
